HUAXI0Z Verification Table


,,Test Exerciser - AIX: HTX

Net Name,Measured on HUAXI0Z,DC,DC Drop(mv),High Pk.,Low Pk.,AC (pk-pk),Freq. (MHz)


+1.0V,L1_1P0V_BP
+3.3VCS,D1_DASD_FRU
,D1_PSOC
,D1_RUSTY_FRU
,J1_RUSTY
,J2_POWER
,R101_PSOC
,R11_1P0V_BP
,R1_1P8V_DASD
,R1_3P3V_DASD
,R1_5P0VB
,R1_RUSTY
,R1_TMS1
,R1_VPD
,R2_I2C
,R2_VPD
,R3_EXPIO_LED
,R3_RUSTY
,R3_TMS1
,R3_TMS2
,R3_VPD
,R4_3P3V_DASD
,R4_5P0VB
,R4_EXPIO_LED
,R4_RUSTY
,R4_TMS1
,R4_TMS2
,R6_EXPIO_LED
,R6_TMS1
,R6_TMS2
,R8_EXPIO_LED
,R9_EXPIO_LED
,U1_1P0V_BP
,U1_EXPIO_LED
,U1_PGOOD
,U1_TMS
,U1_VPD_ISO
,U2_BUFF_RST
,U2_TMS
,U3_BUFF_RST
,U4_PGOOD


+5.0VA,D1_B1_LED
,D2_B1_LED
,D3_B1_LED
,D4_B1_LED
,D5_B1_LED
,D6_B1_LED
,D7_B1_LED
,D8_B1_LED
,J_B1_D1
,J_B1_D2
,J_B1_D3
,J_B1_D4
,J_B1_D5
,J_B1_D6
,J_B1_D7
,J_B1_D8
,R13_5P0VA
,R1_B1_D1
,R1_B1_D2
,R1_B1_D3
,R1_B1_D4
,R1_B1_D5
,R1_B1_D6
,R1_B1_D7
,R1_B1_D8
,R8_5P0VA
,U1_5P0VA


+5.0VB,CVDVD1
,CVDVD2
,CVDVD3
,D1_B2_LED
,D2_B2_LED
,D3_B2_LED
,D4_B2_LED
,D5_B2_LED
,D6_B2_LED
,J_B2_D1
,J_B2_D2
,J_B2_D3
,J_B2_D4
,J_B2_D5
,J_B2_D6
,PS1_5P0VB
,R1_B2_D1
,R1_B2_D2
,R1_B2_D3
,R1_B2_D4
,R1_B2_D5
,R1_B2_D6
,RVDVD1
,U5VDVD


+5.0VDVD,DVD9_LED
,J_B1_D17
,Q_DVD
,RVDVD4


12VA_FUSE,F1_1P0V
,R20_1P0V_BP
,R21_1P0V_BP


12VB_FUSE,F1_3P3V
,R20_3P3V_DASD


ADC_VDD_EXPA,L33_EXPA
,R223_EXPA
,U1_EXPDR


ADC_VDD_EXPB,L33_EXPB
,R223_EXPB
,U2_EXPDR


PWR_12V_B1_D1,J_B1_D1
,R2_B1_D1


PWR_12V_B1_D2,J_B1_D2
,R2_B1_D2


PWR_12V_B1_D3,J_B1_D3
,R2_B1_D3


PWR_12V_B1_D4,J_B1_D4
,R2_B1_D4


PWR_12V_B1_D5,J_B1_D5
,R2_B1_D5


PWR_12V_B1_D6,J_B1_D6
,R2_B1_D6


PWR_12V_B1_D7,J_B1_D7
,R2_B1_D7


PWR_12V_B1_D8,J_B1_D8
,R2_B1_D8


PWR_3.3VCS_PSOC,D1_PSOC
,J1_PSOC
,J_VPD
,R101_PSOC
,R12_PSOC
,R13_PSOC
,R20_PSOC
,R22_PSOC
,R28_PSOC1
,R74_PSOC1
,R75_PSOC1
,R76_PSOC1
,R77_PSOC1
,U1_PSOC


PWR_3V3_B2_D1,J_B2_D1
,R2_B2_D1


PWR_3V3_B2_D2,J_B2_D2
,R2_B2_D2


PWR_3V3_B2_D3,J_B2_D3
,R2_B2_D3


PWR_3V3_B2_D4,J_B2_D4
,R2_B2_D4


PWR_3V3_B2_D5,J_B2_D5
,R2_B2_D5


PWR_3V3_B2_D6,J_B2_D6
,R2_B2_D6


PWR_5V_B1_D1,J_B1_D1
,R1_B1_D1


PWR_5V_B1_D2,J_B1_D2
,R1_B1_D2


PWR_5V_B1_D3,J_B1_D3
,R1_B1_D3


PWR_5V_B1_D4,J_B1_D4
,R1_B1_D4


PWR_5V_B1_D5,J_B1_D5
,R1_B1_D5


PWR_5V_B1_D6,J_B1_D6
,R1_B1_D6


PWR_5V_B1_D7,J_B1_D7
,R1_B1_D7


PWR_5V_B1_D8,J_B1_D8
,R1_B1_D8


PWR_5V_B2_D1,J_B2_D1
,R1_B2_D1


PWR_5V_B2_D2,J_B2_D2
,R1_B2_D2


PWR_5V_B2_D3,J_B2_D3
,R1_B2_D3


PWR_5V_B2_D4,J_B2_D4
